No.,Sex,Habitat,Behaviour,Weight,Length,Plastron length,Gular length,Mid width,Curved width,Rear width
S107,F,Bush edge,Passive,1167,192,147,23,119.3,221,116.8
S108,F,Bush edge,Passive,1018,178,142,17,112.2,210,112.9
S109,F,Bush edge,Passive,935,174,137,16,114.8,197,114
S110,F,Open,Walking,792,178,142,18,112.8,191,111.9
S111,M,Open,Walking,951,199,140,27,115.2,208,116
S112,F,Open,Walking,957,177,139,19,113.2,209,109.9
S113,F,Scrub,Walking,884,189,142,17,113.9,193,111.1
S114,F,Scrub,Passive,1137,197,141,17,126.1,221,115.5
S115,F,Scrub,Walking,910,185,132,18,113.3,296,107.2
S116,F,Scrub,Walking,1060,192,145,15,118.8,203,107.3
S117,F,Open,Feeding,1130,180,136,23,121.2,221,121.9
S118,F,Scrub,Walking,1171,183,147,19,118,223,111.8
T3,M,Open,Fight,1094,192.3,152.6,29,121.9,225,120.3
T4,M,Open,Fight,1521,216.7,182.8,31,136.6,247,133.2
T5,M,Open,Fight,1101,196.6,154,22.9,120.7,218,120.4
T6,M,Open,Fight,1364,208.4,164.5,26.2,131.1,243,130.4
T7,M,Open,Fight,1271,197.3,152.4,22.2,128.5,234,124.6
T8,M,Open,Fight,1269,205.6,159.7,29.7,127.3,239,121.5
T9,M,Open,Fight,959,182.9,140,27.7,115.7,215,114.6
T10,M,Open,Fight,961,185,150.1,26,107,200,110.1
T11,M,Open,Fight,1210,198.5,152,31.1,124.3,230,126
G110,M,Bush edge,Fight,932,188,146,23,112.3,214,111.8
G111,M,Open,Fight,1041,202,154,30,121,225,117.2
G112,M,Open,Fight,624,153,126,17,98.4,181,98.6
G113,M,Open,Fight,866,165,133,18,111.5,215,109.7
G114,M,Scrub,Fight,1000,192,144,23,108,226,112.7
